repo,username,contributions
mir-protocol/plonky2,wborgeaud,1359
mir-protocol/plonky2,npwardberkeley,1107
mir-protocol/plonky2,dlubarov,961
mir-protocol/plonky2,typ3c4t,410
mir-protocol/plonky2,Nashtare,303
mir-protocol/plonky2,nbgl,161
mir-protocol/plonky2,LindaGuiga,98
mir-protocol/plonky2,4l0n50,74
mir-protocol/plonky2,hratoanina,60
mir-protocol/plonky2,BGluth,57
mir-protocol/plonky2,unzvfu,44
mir-protocol/plonky2,Sladuca,35
mir-protocol/plonky2,bhgomes,18
mir-protocol/plonky2,muursh,15
mir-protocol/plonky2,matthiasgoergens,13
mir-protocol/plonky2,pgebheim,10
mir-protocol/plonky2,dvdplm,9
mir-protocol/plonky2,puma314,8
mir-protocol/plonky2,dependabot[bot],5
mir-protocol/plonky2,AdventureSeeker987,5
mir-protocol/plonky2,therealyingtong,5
mir-protocol/plonky2,dzizazda,4
mir-protocol/plonky2,tamirhemo,4
mir-protocol/plonky2,ctian1,3
mir-protocol/plonky2,sai-deng,3
mir-protocol/plonky2,onsen-egg,3
mir-protocol/plonky2,qope,3
mir-protocol/plonky2,0x0ece,2
mir-protocol/plonky2,shuoer86,2
mir-protocol/plonky2,spiral-ladder,2
zcash/halo2,str4d,1113
zcash/halo2,therealyingtong,662
zcash/halo2,ebfull,383
zcash/halo2,daira,178
zcash/halo2,nuttycom,85
zcash/halo2,3for,12
zcash/halo2,nalinbhardwaj,5
zcash/halo2,dependabot[bot],4
zcash/halo2,r3ld3v,4
zcash/halo2,rex4539,4
zcash/halo2,CarloModicaPortfolio,3
zcash/halo2,HollowMan6,3
zcash/halo2,L-as,3
zcash/halo2,dconnolly,3
zcash/halo2,zhiqiangxu,2
zcash/halo2,nagatoism,2
zcash/halo2,parazyd,2
zcash/halo2,honeywest,2
zcash/halo2,defuse,2
zcash/halo2,ashWhiteHat,2
zcash/halo2,CPerezz,1
zcash/halo2,ChihChengLiang,1
zcash/halo2,0xmountaintop,1
zcash/halo2,ImmanuelSegol,1
zcash/halo2,kobigurk,1
zcash/halo2,simonmasson,1
zcash/halo2,trel,1
zcash/halo2,alexander-camuto,1
zcash/halo2,han0110,1
zcash/halo2,fakedev9999,1
risc0/risc0,flaub,432
risc0/risc0,SchmErik,195
risc0/risc0,dependabot[bot],163
risc0/risc0,nategraf,112
risc0/risc0,tzerrell,89
risc0/risc0,pdg744,86
risc0/risc0,shkoo,80
risc0/risc0,mothran,75
risc0/risc0,bobbobbio,54
risc0/risc0,nahoc,44
risc0/risc0,capossele,42
risc0/risc0,jbruestle,42
risc0/risc0,austinabell,30
risc0/risc0,Cardosaum,24
risc0/risc0,morgangibbs87,24
risc0/risc0,rlukata,17
risc0/risc0,hmrtn,17
risc0/risc0,nuke-web3,11
risc0/risc0,intoverflow,11
risc0/risc0,3lkn,9
risc0/risc0,nvzqz,9
risc0/risc0,sashaaldrick,8
risc0/risc0,hashcashier,6
risc0/risc0,spaugh,5
risc0/risc0,BoltonBailey,5
risc0/risc0,iddo-bentov,5
risc0/risc0,it09,4
risc0/risc0,Wollac,4
risc0/risc0,Roee-87,4
risc0/risc0,criadoperez,4
succinctlabs/sp1,jtguibas,775
succinctlabs/sp1,kevjue,258
succinctlabs/sp1,ctian1,228
succinctlabs/sp1,nhtyy,194
succinctlabs/sp1,gg2001,174
succinctlabs/sp1,ratankaliani,148
succinctlabs/sp1,tamirhemo,128
succinctlabs/sp1,mattstam,128
succinctlabs/sp1,erabinov,94
succinctlabs/sp1,tqn,77
succinctlabs/sp1,rkm0959,72
succinctlabs/sp1,dependabot[bot],50
succinctlabs/sp1,0xWOLAND,47
succinctlabs/sp1,yuwen01,43
succinctlabs/sp1,hidenori-shinohara,40
succinctlabs/sp1,puma314,30
succinctlabs/sp1,leruaa,25
succinctlabs/sp1,xJonathanLEI,13
succinctlabs/sp1,umadayal,12
succinctlabs/sp1,mattsse,10
succinctlabs/sp1,lsquaredleland,8
succinctlabs/sp1,dlubarov,7
succinctlabs/sp1,tudorpintea999,7
succinctlabs/sp1,fakedev9999,6
succinctlabs/sp1,yourbuddyconner,5
succinctlabs/sp1,0xkanekiken,5
succinctlabs/sp1,lispc,5
succinctlabs/sp1,hoank101,4
succinctlabs/sp1,Sladuca,4
succinctlabs/sp1,srdtrk,3
a16z/jolt,sragss,805
a16z/jolt,moodlezoup,688
a16z/jolt,arasuarun,161
a16z/jolt,ncitron,139
a16z/jolt,GUJustin,132
a16z/jolt,aleph-v,108
a16z/jolt,PatStiles,37
a16z/jolt,Ethan-000,28
a16z/jolt,srinathsetty,26
a16z/jolt,sebasti810,23
a16z/jolt,sagar-a16z,16
a16z/jolt,mw2000,14
a16z/jolt,imikushin,13
a16z/jolt,mmagician,12
a16z/jolt,quangvdao,10
a16z/jolt,dependabot[bot],8
a16z/jolt,MatteoMer,8
a16z/jolt,huitseeker,7
a16z/jolt,0xfuturistic,7
a16z/jolt,flyq,6
a16z/jolt,jakzale,5
a16z/jolt,zhenfeizhang,5
a16z/jolt,SuccinctPaul,5
a16z/jolt,tumberger,4
a16z/jolt,tahsintunan,4
a16z/jolt,microsoftopensource,4
a16z/jolt,emlazzarin,4
a16z/jolt,spartucus,3
a16z/jolt,mdqst,3
a16z/jolt,shreyas-londhe,3
